Nikon Z5II	nikon	2025-04-03	slrs		
Canon EOS R50 V	canon	2025-03-26	slrs		
Canon RF 20mm F1.4 L VCM	canon	2025-03-26	lenses	CanonRF|CanonRFS	20mm
Canon RF-S 14-30mm F4-6.3 IS STM PZ	canon	2025-03-26	lenses	CanonRFS	14-30mm
Fujifilm GFX100RF	fujifilm	2025-03-20	compacts		
Viltrox AF 50mm F2.0 Air	viltrox	2025-03-04	lenses	NikonZ|SonyE|SonyFE	50mm
Viltrox AF 85mm F1.4 Pro	viltrox	2025-03-04	lenses	NikonZ|SonyE|SonyFE	85mm
Viltrox AF 25mm F1.7 Air	viltrox	2025-02-28	lenses	FujifilmX|NikonZ|SonyE	25mm
Sony FE 16mm F1.8 G	sony	2025-02-26	lenses	SonyE|SonyFE	16mm
Sony FE 400-800mm F6.3-8 G	sony	2025-02-26	lenses	SonyE|SonyFE	400-800mm
Panasonic Lumix DC-S1RII	panasonic	2025-02-25	slrs		
Zeiss Otus ML 50mm F1.4	zeiss	2025-02-25	lenses	CanonRF|CanonRFS|NikonZ|SonyE|SonyFE	50mm
Zeiss Otus ML 85mm F1.4	zeiss	2025-02-25	lenses	CanonRF|CanonRFS|NikonZ|SonyE|SonyFE	85mm
Sigma BF	sigma	2025-02-23	slrs		
Sigma 16-300mm F3.5-6.7 DC OS	sigma	2025-02-23	lenses	CanonRFS|FujifilmX|LeicaSL|SonyE	16-300mm
Sigma 300-600mm F4 DG OS Sports	sigma	2025-02-23	lenses	LeicaSL|SonyFE	300-600mm
Leica Summilux-M 50mm F1.4 ASPH II	leica	2025-02-20	lenses	LeicaM	50-undefinedmm
Canon PowerShot V1	canon	2025-02-19	compacts		
Voigtlander Color-Skopar 35mm F3.5 Aspherical VM	voigtlander	2025-02-14	lenses	LeicaM	35-undefinedmm
OM System OM-3	om-system-olympus	2025-02-06	slrs		
OM System M.Zuiko Digital 17mm F1.8 II	om-system-olympus	2025-02-06	lenses	MicroFourThirds	17mm
OM System M.Zuiko Digital 25mm F1.8 II	om-system-olympus	2025-02-06	lenses	MicroFourThirds	25mm
OM System M.Zuiko Digital 100-400mm F5.0-6.3 IS II	om-system-olympus	2025-02-06	lenses	MicroFourThirds	100-400mm
Nikon Coolpix P1100	nikon	2025-02-04	compacts		
Nikon Nikkor Z 35mm F1.2 S	nikon	2025-02-04	lenses	NikonZ	35mm
Canon RF 16-28 F2.8 IS STM	canon	2025-01-22	lenses	CanonRF|CanonRFS	16-28mm
Leica SL3-S	leica	2025-01-16	slrs		
Voigtlander Nokton 28mm F1.5 Aspherical	voigtlander	2025-01-15	lenses	NikonZ|SonyE|SonyFE	28-undefinedmm
Viltrox AF 35mm F1.7 Air	viltrox	2024-12-18	lenses	FujifilmX|NikonZ|SonyE	35mm
Laowa 55mm F2.8 Tilt-Shift 1X Macro	laowa-venus-optics	2024-12-17	lenses	CanonRF|FujifilmG|LeicaSL|NikonZ|SonyFE	55-undefinedmm
Laowa 100mm F2.8 Tilt-Shift 1X Macro	laowa-venus-optics	2024-12-17	lenses	CanonRF|FujifilmG|LeicaSL|NikonZ|SonyFE	100-undefinedmm
